I understand that my participation is voluntary and that I am free to withdraw at any time without giving any reason. I also understand that my data will be treated confidentially and any publication resulting from this work will report only data that does not identify me.,What is your age?,In what country do you work?,What is your self-identified sex?,What would you describe as your current occupation?,Other (please specify),"Are you currently in academia (as a researcher, advisor, student, etc.)? If you are a practicing psychologist (e.g. educational, clinical) or training to be one, please select ""Practicing psychologist"".",PhD or Doctorate student,Postdoctoral researcher,Assistant lecturer/Research associate,Lecturer/Assistant professor,Senior lecturer/Associate professor,Reader/Professor,Professor/Distinguished professor,Trainee practicing psychologist,Practicing psychologist,Other (please specify),Have you left academia (including your practicing psychology course/profession) or are considering leaving it?,You believe the stress of the job is too high,You want a better work-life balance,"You have experienced frustration/despair at uncertainty of how much of the literature is true due to QRP's, publication bias, etc.",You are intimidated by the culture of criticism,You have experienced workplace bullying/harassment,You believe the pay is too low,You have been (in your view) harshly criticized because of your work,You have experienced frustration/despair due to being unable to replicate other scientist's published studies,You do not believe the rewards/incentives to stay are great enough or are too delayed,You do not feel the work you are performing is a benefit to society,You do not feel the field is progressing,You dislike the lack of control over your location,You dislike the large amount of effort required to gain funding,Other (please specify and state how relevant it is),"Thank you for participating in this survey. If you have any questions or comments, please don't hesitate to contact me at psychbrief@gmail.com or write in the box below."
Yes,30-39,Belgium,Male,Industry,,No,,Postdoctoral researcher,,,,,,,,,Left,3,3,2,1,1,1,1,2,4,3,4,5,5,,
Yes,40-49,United States of America,Male,Psychological science,,Yes,,,,Lecturer/Assistant professor,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,4,4,3,3,2,3,3,2,4,3,3,4,4,All aspects are hypercompetitive,
Yes,21-29,Netherlands,Man,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,1,5,5,1,3,4,3,5,4,3,4,4,5,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Female,Other (please specify),PhD student & Teacher,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,5,5,2,5,2,3,3,1,4,5,2,5,5,,
Yes,21-29,United States of America,Female,Other (please specify),Nonprofit ,No,PhD or Doctorate student,,,,,,,,,,Left,3,5,3,4,5,2,2,3,5,2,3,5,3,,
Yes,30-39,Poland,woman,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,4,4,2,1,2,4,1,2,3,3,2,2,4,,
Yes,30-39,United States of America,male,Physical Sciences,,Yes,,,,Lecturer/Assistant professor,,,,,,,Currently in but planning on leaving,1,2,3,3,1,4,1,3,5,3,5,2,4,,
Yes,60 or older,United States of America,female,Other (please specify),Career coach for academics,No,PhD or Doctorate student,,,,,,,,,Quit while doing PHD--on purpose!,Left,2,3,3,1,4,5,2,1,4,3,5,2,5,"Entitled students that do not want to work; issues with actually being able to pursue research interests due to external pressures on schools, esp. re funding",I do hope you will publish results on VPhD!
Yes,30-39,United States of America,Female,Psychological science,,No,PhD or Doctorate student,,,,,,,,,,Left,2,2,1,3,1,2,1,1,3,5,2,5,3,,"The acronym ""QRPs"" used in one of the questions was not a familiar acronym to me and I had to google what it meant. Consider writing out the word rather than using the acronym.     I also think that the current job categories listed on the first page aren't similar enough in scope to allow some respondents to accurately pick one. I work as a researcher at a non-profit research organization doing mostly psychology-related work (but some not-really-psychology-related research too). I picked that I was working in psychology, but a category like ""industry"" would have applied too. ""Industry"" and ""government"" are sectors, but some of the other categories were topic areas that can be worked on within those sectors."
Yes,21-29,United States of America,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,4,5,3,2,3,3,1,2,4,1,3,5,4,"I love research, but I fell out of love with academia because I don't love Grant writing out publishing",
Yes,21-29,Netherlands,female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,4,5,4,4,2,4,1,4,4,3,1,5,5,,
Yes,30-39,Canada,Female,Psychological science,,No,,Postdoctoral researcher,,,,,,,,,Left,2,3,3,1,1,4,1,1,4,2,1,5,3,Disliked the stress and uncertainty of trying to obtain a tenue track position (highly relevant),
Yes,21-29,Canada,male,Industry,,No,PhD or Doctorate student,,,,,,,,,,Left,3,3,1,1,1,2,1,1,3,3,1,3,3,Exciting alternative job opportunity,Thank you! I don't see 'leaving' academia as necessarily a final thing -- we'll see what the future holds :)
Yes,50-59,Spain,Female,Teaching,,No,,,,,,,,,Practicing psychologist,,Left,1,5,1,1,1,1,1,1,1,1,1,1,1,I had a child of my own to devote time to.,"I took what everyone told me was a big risk, resigned from a ""safe"" local authority Educational Psychology job and moved to Spain. Now, ten years on, and with savage local aurthority cuts, there are only 5 out of 9 psychology jobs in the same authority and two of my former colleagues are dead. "
Yes,30-39,United States of America,male,Humanities,,Yes,,,,,,,,,,Academic professional (continuing contract),Left,4,5,4,2,4,5,4,2,4,4,5,5,5,,
Yes,40-49,United Kingdom of Great Britain and Northern Ireland,male,Social sciences other than psychology,,Yes,,Postdoctoral researcher,,,,,,,,,Currently in but planning on leaving,3,5,5,5,5,3,4,1,5,5,5,5,5,There are too few positions for number of applicants in my field.,
Yes,21-29,Germany,male,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,5,5,5,4,1,5,1,1,5,5,2,4,5,,
Yes,30-39,Australia,Male,Psychological science,,Practicing psychologist,PhD or Doctorate student,Postdoctoral researcher,,,,,,,Practicing psychologist,,Left,5,5,4,3,3,5,3,3,5,3,4,4,5,,
Yes,30-39,Germany,Male,Industry,,No,,Postdoctoral researcher,,,,,,,,,Left,2,2,2,1,1,3,1,2,5,1,1,3,4,Lack of medium to long-term job security. Extremely relevant. Low chance of getting group leader after postdoc was main reason to leave,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Female,Self-employed,,Practicing psychologist,PhD or Doctorate student,,,,,,,,,,Left,3,2,3,3,1,2,2,1,4,2,1,2,3,,
Yes,30-39,Germany,Male,Industry,,No,PhD or Doctorate student,,,,,,,,,,Left,1,3,3,1,1,4,1,1,4,4,1,1,5,,
Yes,60 or older,United Kingdom of Great Britain and Northern Ireland,Female,Self-employed,,Practicing psychologist,,,Assistant lecturer/Research associate,,,,,,,,Left,5,3,5,4,5,3,4,1,3,4,4,5,5,,
Yes,50-59,United Kingdom of Great Britain and Northern Ireland,female,Industry,,No,,,,,Senior lecturer/Associate professor,,,,,,Left,5,3,1,3,2,1,2,1,3,3,2,1,3,I do not hold to the pedagogical tenets that underly university teaching now - highly; there is less personal control over research direction than there was when I joined academia - highly,
Yes,40-49,Australia,Female,Government position,,Practicing psychologist,,,,,Senior lecturer/Associate professor,,,,Practicing psychologist,,Left,5,5,2,1,1,1,1,3,2,3,1,2,4,,
Yes,30-39,United States of America,Male ,Self-employed,,Yes,,,,Lecturer/Assistant professor,,,,,,,Left,4,4,4,1,5,5,5,5,5,5,5,4,5,,
Yes,30-39,United States of America,Female,Psychological science,,Yes,,,,,Senior lecturer/Associate professor,,,,,,Planning on staying,1,1,2,1,1,1,1,2,1,2,3,1,2,,
Yes,40-49,United Kingdom of Great Britain and Northern Ireland,female,Other (please specify),Homemaker,No,,,,,,,,,Practicing psychologist,,Left,1,5,1,1,1,1,1,1,3,3,2,2,1,,
Yes,30-39,Spain,Male,Psychological science,,Yes,,,,Lecturer/Assistant professor,,,,,,,Currently in but planning on leaving,4,5,3,1,1,1,1,2,3,3,2,5,3,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Female,Life sciences,,Yes,,Postdoctoral researcher,,,,,,,,,Currently in but planning on leaving,5,4,2,2,3,2,3,2,2,1,1,4,4,"My primary reason is health (maximal relevance). I suffer frim recurrent miscarriages and cannot cope with combining yet another pregnancy - whatever the outcome- with short-term contracts and the need to move (ie change doctors or entire medical systems). It is sad because I might be looking at several decades of productive work after my childbearing years, however, unless there is a live child to show, there is no discount on productivity, and no real way for me to compete.",
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,male,Psychological science,,Yes,,,,,,Reader/Professor,,,,,Considered in the past whether to leave but have (currently) chosen to stay,4,2,4,1,1,2,1,3,3,4,5,4,3,,
Yes,30-39,Germany,male,Social sciences other than psychology,,No,,Postdoctoral researcher,,,,,,,,,Left,4,4,3,1,1,3,1,3,4,2,1,4,4,,
Yes,21-29,United States of America,Male,Psychological science,,Yes,,,,Lecturer/Assistant professor,,,,,,,Planning on staying,1,2,1,5,5,1,2,1,2,4,1,2,4,,
Yes,50-59,United States of America,Male,Industry,,No,,,,Lecturer/Assistant professor,,,,,,,Left,5,5,3,2,1,4,1,1,4,3,2,3,4,,
Yes,40-49,Greece,Male,Psychological science,,Practicing psychologist,PhD or Doctorate student,,Assistant lecturer/Research associate,,,,,,Practicing psychologist,,Left,3,2,2,2,5,1,2,2,2,2,2,3,5,,
Yes,21-29,United States of America,Male,Teaching,,Yes,,,,Lecturer/Assistant professor,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,3,3,3,4,1,1,2,4,2,5,2,5,3,,Thanks for doing this. I'd like to see the results -- I hope you post some descriptives to the Facebook psych group I found this survey in. 
Yes,21-29,United States of America,female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,4,5,3,1,1,5,1,3,5,4,2,3,5,I do not like that academics look down on students who choose applied psychology career paths and both explicitly and implicitly discourage them from leaving academia,
Yes,40-49,United States of America,Male,Life sciences,,Yes,,,,Lecturer/Assistant professor,,,,,,,Considering leaving,5,3,4,1,3,1,1,4,4,3,2,2,5,,
Yes,40-49,Canada,Female,Government position,,No,PhD or Doctorate student,,,,,,,,,,Left,1,1,1,1,1,1,1,1,5,3,1,1,1,,
Yes,30-39,United States of America,Female,Other (please specify),Consulting,Yes,,,,,,,,,,Adjunct Professor,Left,3,1,1,4,3,2,5,1,1,1,1,1,1,,
Yes,50-59,United States of America,female,Self-employed,,No,PhD or Doctorate student,,,,,,,,,,Left,3,4,2,2,3,4,2,1,4,1,2,2,5,,
Yes,21-29,United States of America,Male,Other (please specify),Cognitive Science,No,PhD or Doctorate student,,,,,,,,,,Left,2,3,2,1,1,2,1,1,2,1,3,2,1,"There are many MANY other factors contributing to this issue. I have been offered 3 post docs in, what I would consider, amazing departments. The problem is, they are merely postdocs. Tenure track positions now require you to remain a poor individual (literally) until well into your 30s. At which time if you get a tenure position you aren't paid nearly enough to stay out of debt. Not only this, but in some cases the academic is pigeon holed by working with certain researchers for highly specialized skills that do not translate into anything but the academy. This results in a huge disconnect with the pace of science and technology happening in real time. Some of the best work is no longer being done in the academy but ""out there"" in industry where the real data (in real time) is being collected and analyzed. I have also seen grants being won by underserving scientists and that money be poorly managed, or incentivized in awful ways. It's systemic. If you're looking at it from the inside, wondering why people don't stay in it, you've isolated yourself from the problem. Specifically, ""why did you leave academia"" is a question that suggests there's US and THEM - those that leave and those that stay in. You're missing the mark - it's not about us/them industry is not a blackbox of scary ""working people"". Get out. See for yourself, then blur the gap between industry and academia, Sit on the fence and connect the two. ","There are many MANY other factors contributing to this issue. I have been offered 3 post docs in, what I would consider, amazing departments. The problem is, they are merely postdocs. Tenure track positions now require you to remain a poor individual (literally) until well into your 30s. At which time if you get a tenure position you aren't paid nearly enough to stay out of debt. Not only this, but in some cases the academic is pigeon holed by working with certain researchers for highly specialized skills that do not translate into anything but the academy. This results in a huge disconnect with the pace of science and technology happening in real time. Some of the best work is no longer being done in the academy but ""out there"" in industry where the real data (in real time) is being collected and analyzed. I have also seen grants being won by underserving scientists and that money be poorly managed, or incentivized in awful ways. It's systemic. If you're looking at it from the inside, wondering why people don't stay in it, you've isolated yourself from the problem. Specifically, ""why did you leave academia"" is a question that suggests there's US and THEM - those that leave and those that stay in. You're missing the mark - it's not about us/them industry is not a blackbox of scary ""working people"". Get out. See for yourself, then blur the gap between industry and academia, Sit on the fence and connect the two.     I could go on and on and on. Also - I think you should make this survey open ended. There's a hell of a lot that's not captured by your questions. "
Yes,30-39,Australia,Male,Government position,,No,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,3,4,1,1,1,1,1,1,2,1,1,3,2,Overall competitiveness of securing a job in academia is daunting,
Yes,50-59,United States of America,female,Government position,,No,PhD or Doctorate student,,,,,,,,,,Left,3,3,1,3,4,3,1,4,4,5,1,1,2,,
Yes,50-59,United Kingdom of Great Britain and Northern Ireland,Female,Self-employed,,Practicing psychologist,PhD or Doctorate student,,,,,,,,,,Retired,4,5,1,1,2,4,2,1,4,4,2,3,1,,
Yes,30-39,Australia,Female,Industry,,No,PhD or Doctorate student,,,,,,,,,,Left,1,1,5,1,1,4,1,1,2,3,1,5,1,,
Yes,40-49,United States of America,Male,Social sciences other than psychology,,Practicing psychologist,,,,,,,,,Practicing psychologist,,Considered in the past whether to leave but have (currently) chosen to stay,5,4,2,2,1,3,1,1,4,3,3,3,1,,
Yes,21-29,United States of America,Female,Other (please specify),Mental health,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,5,5,2,3,3,2,5,2,5,4,3,5,5,Structure of graduate study made it extremely difficult to graduate in a timely manner; lack of mentorship; extreme frustration with advisor - all extremely relevant ,
Yes,30-39,United States of America,Female,Government position,,No,,,,Lecturer/Assistant professor,,,,,,,Left,5,5,4,1,4,4,1,3,4,5,4,5,2,the pressure on tenure track faculty was overwhelming and started to degrade the things I enjoyed most (teaching and mentoring students),
Yes,30-39,Australia,Female,Other (please specify),Research and Evaluation Advisor for a nonprofit,No,,Postdoctoral researcher,,,,,,,,,Left,3,4,4,3,1,1,1,2,4,1,2,4,5,Lack of jobs in academia (highly relevant); lack of grants/funding (highly relevant); slow peer review process (moderately relevant),
Yes,60 or older,United States of America,Female ,Other (please specify),User experience research (IT),No,,,Assistant lecturer/Research associate,,,,,,Practicing psychologist,,Left,5,3,3,1,3,5,5,1,5,1,5,5,5,General focus on pathology was dispiriting.,
Yes,30-39,United States of America,female,Social sciences other than psychology,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,5,5,1,3,1,3,1,1,4,2,1,4,4,,
Yes,30-39,Australia,female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,4,5,4,2,2,1,1,2,3,3,3,5,4,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,5,5,2,4,1,2,4,1,5,1,2,4,5,,
Yes,40-49,New Zealand,Male,Teaching,,Yes,,,,,Senior lecturer/Associate professor,,,,,,Considering leaving,3,5,4,1,5,5,4,1,5,1,4,1,5,,
Yes,40-49,United States of America,Male,Humanities,,Yes,,,,,,,Professor/Distinguished professor,,,,Currently in but planning on leaving,5,4,2,4,5,5,5,1,4,4,3,5,3,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Male,Psychological science,,Yes,,Postdoctoral researcher,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,2,4,2,2,1,4,2,1,4,5,2,3,2,,
Yes,21-29,United States of America,Male,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,2,2,4,1,1,3,1,3,4,2,3,2,5,,
Yes,30-39,United States of America,Male,Other (please specify),Higher Ed institutional research,Practicing psychologist,PhD or Doctorate student,,,,,,,,,,Left,2,4,4,2,1,2,2,1,4,3,3,4,4,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,F,Government position,,No,,,,,,,,,,MA psychology,Left,5,3,3,4,1,1,1,1,3,5,1,5,5,Competitive nature is unappealing - i.e. Getting published to get a job etc,I went as far as a MA but left at that point for the reasons above. Now however I work in a policy setting using psychology and behaviour change models to design interventions and run RCTs in government departments - there's no pressure to be the first to publish and i can freely share all data and ideas without worry. 
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Female,Government position,,Practicing psychologist,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,3,3,5,3,1,1,2,1,2,4,3,2,1,,
Yes,60 or older,United Kingdom of Great Britain and Northern Ireland,female,Self-employed,,Practicing psychologist,PhD or Doctorate student,,,,,,,,,,Considering leaving,1,5,1,1,1,3,1,1,3,1,1,1,1,,
Yes,40-49,New Zealand,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,3,3,4,4,1,2,1,1,3,2,1,1,3,,
Yes,30-39,United States of America,Female,Self-employed,,No,PhD or Doctorate student,,Assistant lecturer/Research associate,,,,,,,,Left,3,4,2,2,5,3,2,2,3,1,2,2,3,Extremely Relevant: gatekeeping by senior faculty ended my career early,
Yes,21-29,Canada,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,2,4,5,1,1,2,1,1,5,2,2,5,2,,
Yes,30-39,United States of America,Female,Other (please specify),Statistician,Yes,,,,,,,,,,Staff scientist (associate level),Considered in the past whether to leave but have (currently) chosen to stay,4,4,5,4,1,3,3,2,5,4,5,5,3,,"I'm an odd case in that I intended both to leave academia and to switch fields, but the first job I found in the new field (statistics) was (non-TT) academic; then I did leave academia, but came back to it at a higher rank, still in statistics. So a couple of your questions were an odd fit for me. I don't know what your research question is but if some qualitative info on this career path is of use to you, you can contact me at emjonaitis at gmail dot com."
Yes,21-29,United States of America,Fem,Other (please specify),Unemployed,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,2,1,3,5,3,2,5,2,3,4,1,1,3,I feel undereducated or inadequate to even stay in my program for my dreams of being a professor ,
Yes,40-49,Germany,female,Self-employed,,No,,Postdoctoral researcher,,Lecturer/Assistant professor,,,,,,,Left,4,3,2,3,3,1,1,4,2,3,4,2,1,,
Yes,50-59,United Kingdom of Great Britain and Northern Ireland,Male,Other (please specify),Educational Psychologist,Practicing psychologist,,,,,,,,,Practicing psychologist,,Planning on staying,1,1,1,1,1,1,1,1,1,1,1,1,1,,Very poor survey. Questions that I feel you  know what you want the answers to be. 
Yes,30-39,Ireland,Female,Humanities,,No,PhD or Doctorate student,,,,,,,,,,Left,3,3,1,1,1,5,1,1,5,1,2,5,5,Opportunities for jobs and advancement too low and  precarious. Extremely relevant,
Yes,40-49,United Kingdom of Great Britain and Northern Ireland,Female,Self-employed,,Practicing psychologist,PhD or Doctorate student,,,,,,,,,,Left,5,5,0,0,4,3,0,0,3,0,0,5,0,,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Female,Psychological science,,Practicing psychologist,PhD or Doctorate student,,,,,,,,Practicing psychologist,,Considering leaving,5,4,1,4,3,3,4,1,3,3,1,2,1,,
Yes,21-29,United States of America,female,Social sciences other than psychology,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,3,3,4,3,5,1,1,2,4,4,4,3,1,,
Yes,30-39,Belgium,My physical sex is male. I do not believe in self-identified sex.,Social sciences other than psychology,,Yes,,Postdoctoral researcher,,,,,,,,,Currently in but planning on leaving,1,1,1,1,1,2,1,1,2,1,1,1,1,"Simply cannot find a job in academia. Few openings, tough (and sometimes unfair) competition.",
Yes,50-59,United Kingdom of Great Britain and Northern Ireland,female,Psychological science,,Practicing psychologist,PhD or Doctorate student,,,,Senior lecturer/Associate professor,,,,Practicing psychologist,,Left,1,4,4,3,5,4,3,3,4,4,4,1,2,,
Yes,30-39,United States of America,Female,Teaching,,Yes,,,,Lecturer/Assistant professor,,,,,,,Considering leaving,2,3,1,1,1,2,1,1,2,1,1,2,3,,
Yes,30-39,United States of America,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,3,3,3,1,5,1,1,1,2,5,1,1,2,Lack of racial diversity and/or support for diversity while a graduate student,
Yes,30-39,United States of America,Female,Psychological science,,No,,,,,Senior lecturer/Associate professor,,,,,,Left,4,2,1,1,2,4,2,1,5,1,1,5,2,,
Yes,30-39,United States of America,Female,Physical Sciences,,No,PhD or Doctorate student,,,,,,,,,,Left,5,5,2,5,5,5,3,1,5,1,1,1,5,Academia is for rich people.,
Yes,21-29,Ireland,Male,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,4,5,5,1,1,3,1,5,4,3,3,1,2,PhD student to postdoctoral position ratio is crazy. Too many PhDs are offered to benefit PI's research.,
Yes,21-29,Netherlands,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,3,2,5,1,1,2,2,2,4,5,5,2,2,,
Yes,30-39,Netherlands,Female,Other (please specify),Librarian,No,PhD or Doctorate student,,,,,,,,,,Left,3,4,1,2,3,1,3,1,4,1,1,4,4,"My supervisor was a jackass, and even though I like setting up experiments, statistics etc. I dislike writing.",
Yes,30-39,Canada,male,Self-employed,,No,PhD or Doctorate student,Postdoctoral researcher,Assistant lecturer/Research associate,Lecturer/Assistant professor,,,,,,,Left,1,3,5,1,5,1,1,5,5,1,5,2,1,Left academia due to elite (social) psychologists not reporting their research sufficiently transparently 6 years after Bem (2011),
Yes,30-39,United States of America,female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,2,4,5,3,1,3,1,3,5,4,4,5,3,,
Yes,50-59,United States of America,female,Teaching,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,3,3,1,2,2,3,3,1,4,1,4,4,5,A very simple variable is lack of jobs. There are more PhDs trying to fill full-time professor positions than there are positions. It's like the hunger games out there.,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Female,Industry,,No,,Postdoctoral researcher,Assistant lecturer/Research associate,,,,,,,,Left,1,1,3,1,1,4,1,1,4,4,5,1,4,Not exciting enough; too slow placed,
Yes,21-29,United States of America,female,Teaching,,Yes,,,,,,,,,,I am a PhD candidate who is starting a position that will be tenure-track once I defend my dissertation.,Considered in the past whether to leave but have (currently) chosen to stay,4,4,5,3,4,2,2,1,4,1,3,3,5,,
Yes,30-39,Netherlands,Female,Psychological science,,Yes,,,,Lecturer/Assistant professor,,,,,,,Currently in but planning on leaving,4,1,2,2,2,1,3,2,2,4,1,1,3,Too individual and unrealistic expectations from researchers,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,21-29,United States of America,150% man,Other (please specify),Contract data analyst,Yes,PhD or Doctorate student,,,,,,,,,,Left,3,2,5,1,1,2,2,2,4,5,5,1,3,shits dumb,
Yes,30-39,United States of America,Female,Industry,,No,,Postdoctoral researcher,,,,,,,,,Left,1,2,2,1,4,5,1,1,5,1,1,5,3,,
Yes,30-39,United States of America,Female,Teaching,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,5,5,3,4,3,4,3,2,4,3,3,4,5,,
Yes,30-39,United States of America,Female ,Other (please specify),Corporate training (learning and development),No,PhD or Doctorate student,,,,,,,,,,Left,4,4,3,2,2,4,1,1,4,1,1,4,4,,
Yes,60 or older,United Kingdom of Great Britain and Northern Ireland,Female,Self-employed,,Practicing psychologist,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,1,3,3,3,4,1,3,1,3,3,4,1,1,,
Yes,21-29,United Kingdom of Great Britain and Northern Ireland,Male,Industry,,No,PhD or Doctorate student,,,,,,,,,,Left,2,3,4,1,1,4,1,1,5,3,2,4,3,Culture of the individual scientist rather than focus on collaboration - highly relevant. Job insecurity and need to change jobs every couple of years - highly relevant. I prefer doing a variety of projects rather than becoming a world expert in one particular thing - highly relevant.,
Yes,21-29,United States of America,female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,5,5,2,1,3,3,1,1,5,4,1,5,5,,
Yes,30-39,Netherlands,male,Other (please specify),unemployed,No,,,Assistant lecturer/Research associate,,,,,,,,Left,3,1,5,1,1,1,1,1,4,3,5,4,4,"Over time i have started to think that as a relative ""nobody"" no one takes you seriously. Either by not publishing your papers, not listening to your ideas, not getting credit for anything etc. (very relevant) ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,30-39,United States of America,Female,Psychological science,,Yes,,Postdoctoral researcher,,,,,,,,,Currently in but planning on leaving,5,5,3,5,1,5,1,1,5,3,1,5,5,,
Yes,21-29,United States of America,Male,Psychological science,,No,PhD or Doctorate student,,,,,,,,,,Left,5,5,3,1,1,1,1,1,4,4,1,5,2,,
Yes,30-39,United States of America,Female,Psychological science,,Yes,,,,Lecturer/Assistant professor,,,,,,,Currently in but planning on leaving,4,4,4,2,1,2,1,1,4,4,2,2,2,"I don't care as much for teaching as I feel I should. Teaching load is greater and there are few resources/little time for research. There are often too many tasks to do, and too little time. Tasks get dropped on you with little notice (you didn't know that you would be expected to perform the tasks), and there is poor instruction about those tasks. Rating: highly relevant ",
Yes,30-39,United States of America,female,Social sciences other than psychology,,No,PhD or Doctorate student,,,,,,,,,,Left,5,4,5,2,2,5,1,3,5,4,1,4,5,,
Yes,30-39,United States of America,Female,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,1,1,2,1,2,3,2,2,4,3,1,4,4,Not enough positions in my area--highly relevant,
Yes,30-39,United Kingdom of Great Britain and Northern Ireland,Female,Science Communication,,No,PhD or Doctorate student,,,,,,,,,,Left,3,4,2,4,1,1,1,1,3,3,1,1,4,,
Yes,40-49,United States of America,Female,Social sciences other than psychology,,Yes,,,,Lecturer/Assistant professor,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,5,4,5,4,5,4,1,4,4,3,4,3,4,Mental health problems are completely ignored in academia. ,
Yes,30-39,Germany,male,Social sciences other than psychology,,Yes,PhD or Doctorate student,,,,,,,,,,Currently in but planning on leaving,1,1,1,1,1,1,1,1,1,1,1,1,1,"German Law. ""Gesetz über befristete Arbeitsverträge in der Wissenschaft (Wissenschaftszeitvertragsgesetz - WissZeitVG)""",
Yes,30-39,United States of America,female,Other (please specify),Educational research,Yes,,,,,,,,,,"research staff (unsure if you consider this as a ""research associate""--I'm not faculty or tenure track)",Considered in the past whether to leave but have (currently) chosen to stay,3,4,1,5,1,3,3,2,2,1,1,5,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,21-29,Austria,male,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considered in the past whether to leave but have (currently) chosen to stay,5,4,2,1,1,5,1,1,3,2,2,3,3,,
Yes,40-49,United Kingdom of Great Britain and Northern Ireland,Male,Psychological science,,Yes,,,,,Senior lecturer/Associate professor,,,,,,Considering leaving,5,2,3,4,4,3,3,5,4,2,3,2,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,21-29,United States of America,Female,Psychological science,,Yes,,Postdoctoral researcher,,,,,,,,,Considering leaving,3,4,3,5,1,5,1,1,5,3,2,5,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,30-39,United States of America,female,Other (please specify),multi-disciplinary academic operations research,Yes,,Postdoctoral researcher,,,,,,,,,Currently in but planning on leaving,5,5,5,3,5,2,1,5,4,4,4,5,4,,
Yes,21-29,Canada,Sex cannot be self identified---Male,Psychological science,,Yes,PhD or Doctorate student,,,,,,,,,,Considering leaving,1,1,5,1,1,1,1,3,3,3,3,3,5,,
Yes,30-39,United States of America,male,Other (please specify),unemployed,No,,Postdoctoral researcher,,,,,,,,,Left,4,5,2,1,1,1,1,1,5,2,2,5,4,,
Yes,40-49,United States of America,female,Science Communication,,No,PhD or Doctorate student,,,,,,,,,,Left,4,5,4,1,2,5,1,1,5,4,3,3,4,"Long work hours, with much spent on pointless committee work.  Many reasons specific to my dept/uni, and the reality that leaving for another department would have meant moving to a new state, disrupting my spouse and kids.",
Yes,30-39,United States of America,Male,Industry,,No,PhD or Doctorate student,,,,,,,,,,Left,1,3,3,1,1,4,1,2,4,4,2,4,3,,
